Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
"hudson city bancorp, inc.",,Hudson City Bancorp Inc,https://www.indeed.com/cmp/Hudson-City-Savings-Bank/reviews,293
hudson united bancorp,,Hudson United Bancorp,https://www.indeed.com/cmp/Hudson-United-Bank/reviews,271
humboldt bancorp,,Humboldt Bancorp,,299
huntington bancshares incorporated,HBAN,Huntington Bancshares Inc,https://www.indeed.com/cmp/Huntington-Bank/reviews,23
iberiabank corporation,IBKC,IBERIABANK Corp,https://www.indeed.com/cmp/Iberiabank/reviews,54
"imperial capital bancorp, inc",,Imperial Capital Bancorp Inc,https://www.indeed.com/cmp/Imperial-Capital-Bank/reviews,240
independent bank corp.,INDB,Independent Bank Corp.,https://www.indeed.com/cmp/Independent-Bank-Corporation/reviews; https://www.indeed.com/cmp/Independent-Bank/reviews,103
independent bank corporation,,Independent Bank Corp,https://www.indeed.com/cmp/Independent-Bank-Corporation/reviews,150
"independent bank group, inc.",IBTX,Independent Bank Group Inc,https://www.indeed.com/cmp/Independent-Bank-Group/reviews,121
"independent bankshares, inc.",,,https://www.indeed.com/cmp/Independent-Bank-Corporation/reviews,283
integra bank corporation,,Integra Bank Corp,https://www.indeed.com/cmp/Integra-Bank/reviews,219
intermountain community bancorp,,Intermountain Community Bancorp,,226
international bancshares corporation,IBOC,International Bancshares Corp,https://www.indeed.com/cmp/International-Bank-of-Commerce/reviews,75
"investors bancorp, inc.",,Investors Bancorp Inc,https://www.indeed.com/cmp/Investors-Bank/reviews,48
investors financial services corp.,,Investors Financial Services Corp,,259
irwin financial corporation,,Irwin Financial Corp,,249
jpmorgan chase & co.,JPM,JPMorgan Chase & Co,https://www.indeed.com/cmp/JPMorgan-Chase/reviews; https://www.indeed.com/cmp/Chase-Bank/reviews,1
keycorp,KEY,KeyCorp,https://www.indeed.com/cmp/Keybank/reviews,19
knbt bancorp inc.,,KNBT Bancorp Inc,https://www.indeed.com/cmp/Knbt/reviews,250
"lakeland bancorp, inc.",,Lakeland Bancorp Inc,https://www.indeed.com/cmp/Lakeland-Bank/reviews,128
lakeland financial corporation,LKFN,,https://www.indeed.com/cmp/Lake-City-Bank/reviews,
lcnb corp.,,LCNB Corp,https://www.indeed.com/cmp/Lcnb-National-Bank/reviews,170
"legacytexas financial group, inc.",LTXB,LegacyTexas Financial Group Inc,https://www.indeed.com/cmp/Legacy-Texas-Bank/reviews,99
"live oak bancshares, inc.",,Live Oak Bancshares Inc,https://www.indeed.com/cmp/Live-Oak-Banking-Co./reviews,160
local financial corporation,,Local Financial Corp,https://www.indeed.com/cmp/Local-Financial-Insitution/reviews,296
m&t bank corporation,MTB,M&T Bank Corp,https://www.indeed.com/cmp/M&T-Bank/reviews,22
"main street banks, inc.",,Main Street Banks Inc,https://www.indeed.com/cmp/Main-Street-Bank/reviews,276
marshall & ilsley corporation,,Marshall & Ilsley Corp,https://www.indeed.com/cmp/Marshall-&-Ilsley-Bank/reviews,213
massbank corp.,,MASSBANK Corp.,,301
"mb financial, inc.",MBFI,MB Financial Inc,https://www.indeed.com/cmp/Mb-Financial-Bank/reviews,58
mbna corporation,,MBNA Corp,https://www.indeed.com/cmp/Mbna-Corporation/reviews,265
mellon financial corporation,,Mellon Financial Corp,https://www.indeed.com/cmp/Mellon-Financial-Services/reviews,256
mercantile bankshares corporation,,Mercantile Bankshares Corp,https://www.indeed.com/cmp/Mercantile-Bank/reviews,258
"metlife, inc.",,Metlife Inc.,https://www.indeed.com/cmp/MetLife/reviews,208
"midwestone financial group, inc.",,MidWestOne Financial Group Inc,https://www.indeed.com/cmp/Midwestone-Bank/reviews,142
"monarch financial holdings, inc",,Monarch Financial Holdings Inc,https://www.indeed.com/cmp/Monarch-Bank/reviews,188
morgan stanley,,Morgan Stanley,https://www.indeed.com/cmp/Morgan-Stanley/reviews,6
mufg americas holdings corporation,,MUFG Americas Holdings Corp,https://www.indeed.com/cmp/Mufg-Americas/reviews,17
national bank holdings corporation,,National Bank Holdings Corp,https://www.indeed.com/cmp/National-Bank-&-Trust/reviews,203
"national bankshares, inc.",,National Bankshares Inc,https://www.indeed.com/cmp/National-Bank-&-Trust/reviews,175
national city corporation,,National City Corp,https://www.indeed.com/cmp/National-City/reviews,245
